unitType,make,stockNumber,year,model,color,msrp,unitId,modelName,invoice,holdback,rebate,age,advertisedPrice,structure,hondaCode,vin
MOTORCYCLE,HONDA,500116,2023,GL1800BDP,Matte Grey,25600,500116-GL1800BDP,GOLDWING DCT,23047,1280,0.00,37,25600,ON ROAD,256464,JH2SC7942PK500116
MOTORCYCLE,HONDA,501723,2023,GL1800DP,Candy Ardent Red,29600,501723-GL1800DP,GOLDWING TOUR DCT,26527,1480,0.00,34,29600,ON ROAD,256431,JH2SC7955PK501723
MOTORCYCLE,HONDA,501692,2023,GL1800DP,Black,29600,501692-GL1800DP,GOLDWING TOUR DCT,26527,1480,0.00,27,29600,ON ROAD,256428,JH2SC7959PK501692
MOTORCYCLE,HONDA,200181,2023,NC750XDP,Matte Nightshade Blue,9399,200181-NC750XDP,NC750X DCT,8777,470,0.00,63,9399,ON ROAD,256511,JH2RH0917PK200181
MOTORCYCLE,HONDA,201274,2023,CMX1100TDP,Metallic Black,11299,201274-CMX1100TDP,REBEL 1100T DCT,10605,565,0.00,35,11299,ON ROAD,258361,JH2SC8364PK201274
MOTORCYCLE,HONDA,600857,2023,CMX300P,Candy Diesel Red,4749,600857-CMX300P,REBEL 300,4532,237,0.00,72,4749,ON ROAD,256598,MLHNC5302P5600857
MOTORCYCLE,HONDA,600696,2023,CMX500P,Matte Black Metallic,6449,600696-CMX500P,REBEL 500,6211,322,0.00,91,6449,OFF ROAD,256621,MLHPC5609P5600696
MOTORCYCLE,HONDA,600101,2023,CMX500P,Candy Blue,6449,600101-CMX500P,REBEL 500,6211,322,0.00,56,6449,ON ROAD,256627,MLHPC5607P5600101
MOTORCYCLE,HONDA,300310,2023,VT750C2BP,Matte Black Metallic,7999,300310-VT750C2BP,SHADOW PHANTOM,7559,400,0.00,57,7999,ON ROAD,256571,JH2RC5379PK300310
MOWER,GRAVELY,G001115,2022,994157,RED,8299,G001115-994157,PRO-STANCE 32,6477.23,0,0.00,267,8299,EQUIPMENT,,001115
MOWER,GRAVELY,G001114,2022,994157,RED,8299,G001114-994157,PRO-STANCE 32,6477.23,0,0.00,267,8299,EQUIPMENT,,001114
MOWER,GRAVELY,G095441,2022,991130,RED,10699,G095441-991130,PRO-TURN 160,7611.86,0,0.00,337,10699,EQUIPMENT,,095441
MOWER,GRAVELY,G094440,2022,992298,RED,12799,G094440-992298,PRO-TURN 260,10087.55,0,0.00,288,12799,EQUIPMENT,,094440
MOWER,GRAVELY,G094528,2022,992298,RED,12799,G094528-992298,PRO-TURN 260,10087.55,0,0.00,288,12799,EQUIPMENT,,094528
MOWER,GRAVELY,G000116,2023,992526,Red,12999,G000116-992526,Pro-Turn 360,10354.7,0,0.00,30,12999,EQUIPMENT,,000116
MOWER,GRAVELY,G090607,2022,991282,RED,7299,G090607-991282,PRO-TURN Z 52,5736.08,0,0.00,344,7299,EQUIPMENT,,090607
MOWER,GRAVELY,G090509,2022,991282,RED,7299,G090509-991282,PRO-TURN Z 52,5736.08,0,0.00,337,7299,EQUIPMENT,,090509
MOWER,GRAVELY,G090493,2022,991282,RED,7299,G090493-991282,PRO-TURN Z 52,5736.08,0,0.00,344,7299,EQUIPMENT,,090493
MOWER,GRAVELY,G000203,2023,994160,Red,7199,G000203-994160,Z-Stance 32,6029.39,0,0.00,36,7199,EQUIPMENT,,000203
MOWER,GRAVELY,G000201,2023,994160,Red,7199,G000201-994160,Z-Stance 32,6029.39,0,0.00,36,7199,EQUIPMENT,,000201
MOWER,GRAVELY,G000209,2023,994160,Red,7199,G000209-994160,Z-Stance 32,6029.39,0,0.00,36,7199,EQUIPMENT,,000209
MOWER,GRAVELY,G000202,2023,994160,Red,7199,G000202-994160,Z-Stance 32,6029.39,0,0.00,36,7199,EQUIPMENT,,000202
MOWER,GRAVELY,G096160,2023,991270,Red,6399,G096160-991270,ZT HD 52,5279.36,0,0.00,44,6399,EQUIPMENT,,096160
MOWER,GRAVELY,G096166,2023,991270,Red,6399,G096166-991270,ZT HD 52,5279.36,0,0.00,44,6399,EQUIPMENT,,096166
MOWER,GRAVELY,G096165,2023,991270,Red,6399,G096165-991270,ZT HD 52,5279.36,0,0.00,44,6399,EQUIPMENT,,096165
MOWER,GRAVELY,G095306,2023,991270,Red,6399,G095306-991270,ZT HD 52,5279.36,0,0.00,44,6399,EQUIPMENT,,095306
MOWER,GRAVELY,G095540,2023,991270,Red,6399,G095540-991270,ZT HD 52,5279.36,0,0.00,44,6399,EQUIPMENT,,095540
MOWER,GRAVELY,G096106,2023,991270,Red,6399,G096106-991270,ZT HD 52,5279.36,0,0.00,44,6399,EQUIPMENT,,096106
